Jayadeva
Tran, Q.-H.
Mai, N.-L.
Chen, C.
Min, G.
Hou, C.
Yi, D.
Berkan Sesen, M.
Banares-Alcantara, R.
Kadir, T.
Brady, M.
Cheng, K.-O.
Law, N.-F.
Siu, W.-C.
Buckley, L.
Kaye, S.-A.
Pradhan, A.K.
Tang, X.
Ng, K.K.H.
Lee, C.K.M.
Zhang, S.Z.
Wu, K.
Fu, Z.
Kwan, P.W.
Shi, D.
Deng, C.
Muñoz, M.A.
Kirley, M.
Halgamuge, S.K.
Barakat, N.H.
Bradley, A.P.
Kirkham, R.
Kearney, P.D.
Rogers, K.J.
Mashford, J.
Mansouri, I.
Gholampour, A.
Kisi, O.
Ozbakkaloglu, T.
Han, G.-S.
Yu, Z.-G.
Anh, V.
Zhu, E.
Ho, G.T.S.
Lau, H.C.W.
Chan, C.-K.K.
Hsu, A.L.
Tang, S.-L.
Prabhakar, S.
Goel, A.K.
Priest, G.
Vinayakumar, R.
Soman, K.P.
Poornachandran, P.
Venkatraman, S.
Romero, M.
Luo, Y.
Su, B.
Fuentes, S.
Xu, Z.-B.
Huang, G.-B.
Wang, D.
Wu, P.P.-Y.
Campbell, D.
Merz, T.
Yeung, D.S.
Marling, C.R.
Petot, G.J.
Sterling, L.S.
Barzegar, R.
Moghaddam, A.A.
Deo, R.
Fijani, E.
Tziritis, E.
Ghorbani, M.A.
Samadianfard, S.
Maraseni, T.
Bilgili, M.
Biazar, M.
Xu, X.
Song, M.
Huang, X.
Bu, J.
Yuwono, M.
Moulton, B.D.
Su, S.W.
Nguyen, H.T.
Paliwal, K.K.
Wood, I.A.
Visscher, P.M.
Mengersen, K.L.
Hamilton, N.
Thanh, N.D.
Ali, M.
Son, L.H.
Srisukkham, W.
Neoh, S.C.
Todryk, S.
Lim, C.P.
Xie, Y.
Hassan, M.M.
Alelaiwi, A.
Alrubaian, M.
Peng, H.
Pérez-Jiménez, M.J.
Lee, S.-Y.
Wang, L.-H.
Fang, Q.
Wee, L.J.K.
Tan, T.W.
Ranganathan, S.
Robinson, M.D.
De Souza, D.P.
Keen, W.W.
Saunders, E.C.
McConville, M.J.
Likić, V.A.
Xu, J.-X.
Tan, Y.
Świecicka, A.
Seredynski, F.
Fujii, H.
Slezak, P.
Wang, T.
Luo, H.
Zheng, X.
Pedrycz, W.
Er, M.J.
Ward, J.K.
Tong, J.
Collins, L.
Platt, G.
Beliakov, G.
James, S.
Booth, R.
Meyer, T.
Daly, O.
Taniar, D.
Huang, Y.
Gedeon, T.D.
Wong, P.M.
Al-Madi, N.
Geiß, C.
Aravena Pelizari, P.
Marconcini, M.
Sengara, W.
Edwards, M.
Lakes, T.
Taubenböck, H.
Paternain, D.
Fernandez, J.
Bustince, H.
Mesiar, R.
Tan, X.
Mattiussi, A.
Rosano, M.
Simeoni, P.
Bench-Capon, T.
Araszkiewicz, M.
Ashley, K.
Atkinson, K.
Bex, F.
Borges, F.
Bourcier, D.
Bourgine, P.
Conrad, J.G.
Francesconi, E.
Gordon, T.F.
Governator, G.
Leidner, J.L.
Lewis, D.D.
Loui, R.P.
McCarty, L.T.
Prakken, H.
Schilder, F.
Schweighofer, E.
Thompson, P.
Tyrrell, A.
Verheij, B.
Walton, D.N.
Davern, M.
Shaft, T.
Te'eni, D.
Zhu, Y.
Zeng, X.
Koehl, L.
Thursky, K.A.
Mahemoff, M.
Tham, S.Y.
Agatonovic-Kustrin, S.
Jiang, Y.
Wen, J.
Gilbertson, J.K.
Kemp, J.
van Niekerk, A.
Koopman, B.
Zuccon, G.
Nguyen, A.
Bergheim, A.
Grayson, N.
Ahmadi, M.A.
Soleimani, R.
Lum, M.E.
McMillan, A.J.
Brook, C.W.
Lester, R.
Piers, L.S.
Kayande, U.
De Bruyn, A.
Lilien, G.L.
Rangaswamy, A.
van Bruggen, G.H.
Boyd, C.
Mao, W.
Paterson, K.G.
Steinhoff, L.
Arli, D.
Weaven, S.
Kozlenkova, I.V.
Waters, C.
Orgill, S.
Cowie, A.
Clark, A.
Li Liu, D.
Simpson, M.
McGowen, I.
Sides, T.
Netto, M.A.S.
Calheiros, R.N.
Rodrigues, E.R.
Cunha, R.L.F.
Buyya, R.
Carneiro, D.
Novais, P.
Andrade, F.
Neves, J.
Dobbie, M.J.
Dail, D.
Chan, S.W.K.
Franklin, J.
Halide, H.
Stigebrandt, A.
Rehbein, M.
McKinnon, A.D.
Wharton, B.A.
Morley, R.
Isaacs, E.B.
Cole, T.J.
Lucas, A.
Mathews, J.
Kang, B.
Preston, P.
Krummenacher, G.
Ong, C.S.
Koller, S.
Kobayashi, S.
Buhmann, J.M.
Raheli, B.
Aalami, M.T.
El-Shafie, A.
Pandi, V.R.
Panigrahi, B.K.
Bansal, R.C.
Das, S.
Mohapatra, A.
Xu, Z.
Rizos, C.
Beare, R.
Rosenman, M.
Wang, F.
Idelberger, F.
Milosevic, Z.
Riveret, R.
Sartor, G.
Cao, L.
Zhang, C.
Kim, J.
Wu, H.R.
Qiu, B.
Love, P.E.D.
de Groof, A.J.
Struyvenberg, M.R.
van der Putten, J.
van der Sommen, F.
Fockens, K.N.
Curvers, W.L.
Zinger, S.
Pouw, R.E.
Coron, E.
Baldaque-Silva, F.
Pech, O.
Weusten, B.
Meining, A.
Neuhaus, H.
Bisschops, R.
Dent, J.
Schoon, E.J.
de With, P.H.
Bergman, J.J.
Tran, D.
Cooke, S.
Illingworth, P.J.
Gardner, D.K.
Nazari, S.
Fallah, M.
Kazemipoor, H.
Salehipour, A.
Zhang, F.
Ma, Y.
Pota, H.R.
Shen, W.
Timms, M.J.
Wong, N.
Ray, P.
Stephens, G.
Lewis, L.
Lim, J.H.
Tan, A.G.
Wang, J.J.
Al-Mutawah, K.
Lee, V.
Cheung, Y.
Bab-Hadiashar, A.
Gheissari, N.
Gordon, J.J.
Towsey, M.W.
Hogan, J.M.
Mathews, S.A.
Timms, P.
Nie, L.
Meng, L.
Song, X.
Alizadehsani, R.
Zangooei, M.H.
Hosseini, M.J.
Habibi, J.
Roshanzamir, M.
Khozeimeh, F.
Sarrafzadegan, N.
Lowery, A.J.
Wan, L.
Tang, K.
Zhong, Y.
Qin, A.K.
Kumar, N.
Misra, S.
Wiederman, S.D.
O'Carroll, D.C.
Nikravesh, M.
Leung, K.
Cheong, F.
Cheong, C.
Castro, A.G.
Rocca-Serra, P.
Stevens, R.
Taylor, C.
Nashar, K.
Sansone, S.-A.
Moayedi, H.
Kalantar, B.
Osouli, A.
Rashid, A.S.A.
Xue, Y.
Cai, Z.
Chen, L.
Eriksson, A.
Jiang, J.
Lung, W.-S.
Guo, L.
Sanin, C.
Toro, C.
Haoxi, Z.
Sanchez, E.
Szczerbicki, E.
Carrasco, E.
Mancilla-Amaya, L.
Liu, B.
Hao, Z.
Tsang, E.C.C.
Thompson, P.M.
de Zubicaray, G.I.
Rose, S.E.
Tu, Z.
Dinov, I.
Toga, A.W.
Botros, A.
van Dijk, B.
Killian, M.
Murphy, B.W.
Webster, R.J.
Turlach, B.A.
Quirk, C.J.
Clay, C.D.
Heenan, P.J.
Sampson, D.D.
Dwivedi, Y.K.
Ismagilova, E.
Hughes, D.L.
Carlson, J.
Filieri, R.
Jacobson, J.
Jain, V.
Karjaluoto, H.
Kefi, H.
Krishen, A.S.
Kumar, V.
Raman, R.
Rauschnabel, P.A.
Rowley, J.
Salo, J.
Tran, G.A.
Omidavr, E.
Asl, D.T.
Khaledian, H.
Rahmani, H.
Gróf, G.
Lee, S.
Batty, M.
Teng, H.
